"test","namespace","transform.linear","RectangleGate","PolygonGate","EllipsoidGate","transform.biex","transform.log","transform.fasinh"
"test01",1,1,NA,NA,NA,NA,NA,NA
"test02",1,1,1,NA,NA,NA,NA,NA
"test03",1,1,1,NA,NA,NA,NA,NA
"test04",1,1,NA,1,NA,NA,NA,NA
"test05",1,1,NA,NA,1,NA,NA,NA
"test06",1,1,1,NA,NA,1,NA,NA
"test07",1,1,1,NA,NA,NA,1,NA
"test08",1,1,1,NA,NA,NA,NA,1
"test09",1,1,1,NA,NA,NA,NA,NA
"test10",1,1,1,NA,NA,NA,NA,NA
"test11",1,1,1,1,NA,1,NA,1
"test12",1,1,1,NA,1,1,1,NA
"test13",1,1,1,1,1,NA,NA,1
